"","ncesID","nces_original_name","county_name","city","state","students","id","year","total_liabilities","net_pension_liability","net_opeb_liability","expenses","revenues","liability_per_student","netpension_per_student","netOPEB_per_student","expenses_per_student","revenues_per_student","liability_rev_ratio"
"100","1200150","BREVARD","Brevard County","VIERA","FL",73962,"93779",2021,1020726984,475178596,17121999,838044420,851618092,13800.6947351343,6424.6315134799,231.497241826884,11330.7430842865,11514.2653254374,1.198573625418
"101","3701920","Guilford County Schools","Guilford County","Greensboro","NC",72682,"36571",2020,1173118351,301635944,804006602,822101070,796869443,16140.4247406511,4150.0776533392,11061.9768580942,11310.9307669024,10963.7797941719,1.47215878498681
"102","3701920","Guilford County Schools","Guilford County","Greensboro","NC",72682,"36571",2021,1108660665,344503647,691599796,825832880,833573949,15253.5794969869,4739.87571888501,9515.42054428882,11362.2751162599,11468.7811149941,1.33000877286293
"103","0622500","Long Beach Unified","Los Angeles County","Long Beach","CA",71712,"146325",2020,3148525800,922386344,425718817,1123576999,1136009100,43905.1455823293,12862.3709281571,5936.50737672914,15667.9077281348,15841.2692436412,2.77156741085965
"104","0622500","Long Beach Unified","Los Angeles County","Long Beach","CA",71712,"146325",2021,3149319980,962921099,451231966,1133568444,1268432361,43916.2201584114,13427.6146112227,6292.27975792057,15807.235107095,17687.8675953815,2.4828442389448
"105","0614550","Fresno Unified","Fresno County","Fresno","CA",71265,"146154",2020,3034261964,942203000,1019190619,1233813509,1166709424,42577.1692134989,13221.1183610468,14301.4189153161,17313.0359783905,16371.4224935101,2.600700655693
"106","0614550","Fresno Unified","Fresno County","Fresno","CA",71265,"146154",2021,3379492852,993525000,1050247712,1271463860,1280455084,47421.4951518978,13941.275520943,14737.2161930822,17841.350733179,17967.5167894478,2.63929043215076
"107","1201470","OSCEOLA","Osceola County","KISSIMMEE","FL",69925,"198253",2020,629910852,297815602,15687722,709946823,795253071,9008.3782910261,4259.07189131212,224.350690025027,10152.9756596353,11372.9434537004,0.792088550136514
"108","1201470","OSCEOLA","Osceola County","KISSIMMEE","FL",69925,"198253",2021,738716305,347343200,16582352,737330037,854416743,10564.4090811584,4967.36789417233,237.144826599929,10544.5840114408,12219.0453056847,0.864585474304077
"109","5103840","VA BEACH CITY PBLC SCHS","Virginia Beach city","Virginia Beach","VA",68706,"197671",2020,985168847,678825000,152746000,934488801,985726201,14338.9055832096,9880.14147236049,2223.18283701569,13601.2691904637,14347.0177422641,0.999434575240635
"110","5103840","VA BEACH CITY PBLC SCHS","Virginia Beach city","Virginia Beach","VA",68706,"197671",2021,1077086065,748825120,147744317,881553759,910618796,15676.7395132885,10898.9770907927,2150.38449334847,12830.8118504934,13253.8467673857,1.18280675704392
"111","1201710","SEMINOLE","Seminole County","SANFORD","FL",68096,"32425",2020,601902285,346916779,18813350,666147076,682225811,8839.0255668468,5094.52506755169,276.276873825188,9782.46998355263,10018.5886248825,0.882262551922123
"112","1201710","SEMINOLE","Seminole County","SANFORD","FL",68096,"32425",2021,645371995,409745367,21740202,704741209,733138761,9477.3847949953,6017.17233023966,319.258135573308,10349.2306302867,10766.2529517152,0.880286283212899
