"","state","name","census_id","id","year","category","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","has_unconfirmed"
"5745","TX","North Hopkins Independent School District",NA,163822,2021,"School District",7614489,4077685,268847,19700,336000,0,1162950,0,1749307,0,0,77275,1425888,0,7555892,1551510,7507545,0,0,0,9059055,FALSE
"5746","TX","Mount Enterprise Independent School District",NA,163808,2021,"School District",5545688,2444143,282478,0,62636,0,1191027,0,1565404,0,0,72575,881109,0,5465399,529724,5889359,0,0,0,6419083,FALSE
"5747","TX","North Lamar Independent School District",NA,95784,2021,"School District",17228604,0,2437884,635535,0,319574,6139485,0,7594552,0,101575,3257456,3640066,0,23031576,-354823,30283921,0,0,0,29929098,FALSE
"5748","TX","Olton Independent School District",NA,39066,2021,"School District",4351935,0,625748,0,0,0,1567761,0,2158426,0,0,41148,1900740,0,7386511,343207,8985192,0,0,0,9328399,FALSE
"5749","TX","North Zulch Independent School District",NA,163824,2021,"School District",7388330,3243480,1094811,0,0,459000,1123178,0,1434866,0,32995,43149,836427,0,4434205,36971,5276810,0,0,0,5313781,FALSE
"5750","TX","Morgan Independent School District",NA,163802,2021,"School District",1476460,0,118094,0,0,0,336014,0,425073,0,0,25647,464500,0,1973596,202117,2261626,0,0,0,2463743,FALSE
"5751","TX","Northside Independent School District",NA,38820,2021,"School District",3133192193,2408134551,111604773,0,0,0,304096292,0,298608482,0,8424199,10423435,252365616,0,1051637427,35192092,1279234386,0,0,0,1314426478,FALSE
"5752","TX","Northwest Independent School District",NA,56515,2021,"School District",1389354647,1187621343,72135200,0,0,0,67387254,0,60953073,0,1257777,7552501,37744995,0,321540940,4942997,361895439,0,0,0,366838436,FALSE
"5753","TX","New Deal Independent School District",NA,65547,2021,"School District",6993474,0,836563,827737,0,547216,2263477,0,2518480,0,0,49081,1922812,0,8890613,1147854,9714652,0,0,0,10862506,FALSE
"5754","TX","Oglesby Independent School District",NA,163832,2021,"School District",1223137,0,117735,33751,0,0,495934,0,575717,0,0,77750,442312,0,2366755,61655,2825162,0,0,0,2886817,FALSE
