"","ncesID","nces_original_name","county_name","city","state","students"
"1693","5306660","Pe Ell School District","Lewis County","PE ELL","WA",293
"1694","2932300","WORTH CO. R-III","Worth County","GRANT CITY","MO",293
"1695","5900087","Baca/Dlo'ay Azhi Community School","McKinley County","Prewitt","NM",292
"1696","2004260","Burlingame Public School","Osage County","Burlingame","KS",292
"1697","3501830","MELROSE PUBLIC SCHOOLS","Curry County","MELROSE","NM",292
"1698","2928140","NORTH SHELBY","Shelby County","SHELBYVILLE","MO",292
"1699","5900156","San Simon School","Pima County","Sells","AZ",292
"1700","3302280","Chesterfield School District","Cheshire County","Keene","NH",291
"1701","2911070","DREXEL R-IV","Cass County","DREXEL","MO",291
"1702","4624540","Florence School District 14-1","Codington County","Florence","SD",291
"1703","2718540","MABEL-CANTON PUBLIC SCHOOL DIST.","Fillmore County","MABEL","MN",291
"1704","3302130","Candia School District","Merrimack County","Hooksett","NH",290
"1705","2732460","ROTHSAY PUBLIC SCHOOL DISTRICT","Wilkin County","ROTHSAY","MN",290
"1706","5000432","West River Valley Modified Union Education District #72B","Windham County","Townshend","VT",290
"1707","2911670","EXETER R-VI","Barry County","EXETER","MO",289
"1708","2011220","Flinthills","Butler County","Rosalia","KS",289
"1709","2740810","ULEN-HITTERDAL PUBLIC SCHOOL DIST","Clay County","ULEN","MN",289
"1710","4679350","Willow Lake School District 12-3","Clark County","Willow Lake","SD",289
"1711","5500450","Argyle School District","Lafayette County","Argyle","WI",288
"1712","2311700","RSU 45/MSAD 45","Aroostook County","Washburn","ME",288
"1713","5900147","ATSA' BIYA' A'ZH COMMUNITY SCHOOL","San Juan County","Shiprock","NM",287
"1714","4622500","Ethan School District 17-1","Davison County","Ethan","SD",287
"1715","2012600","Victoria","Ellis County","Victoria","KS",287
"1716","2913230","GREEN CITY R-I","Sullivan County","GREEN CITY","MO",286
"1717","2007800","Hodgeman County Schools","Hodgeman County","Jetmore","KS",286
"1718","1600009","TROY SCHOOL DISTRICT","Latah County","TROY","ID",286
"1719","5000446","Windham Northeast Union Elementary School District #95","Windham County","Bellows Falls","VT",286
"1720","3607710","CLIFTON-FINE CENTRAL SCHOOL DISTRICT","St. Lawrence County","STAR LAKE","NY",285
"1721","0806420","Sangre de Cristo School District No. Re-22J","Alamosa County","MOSCA","CO",285
"1722","2928470","SOUTH IRON CO. R-I","Iron County","ANNAPOLIS","MO",285
"1723","2303600","Bristol Public Schools","Lincoln County","Damariscotta","ME",284
"1724","5000449","West River Valley Modified Union Education District #72A","Windham County","Townshend","VT",284
"1725","5508970","Mellen School District","Ashland County","Mellen","WI",283
"1726","3629070","TUCKAHOE COMMON SCHOOL DISTRICT","Suffolk County","SOUTHAMPTON","NY",283
"1727","4675660","Wall School District 51-5","Pennington County","Wall","SD",283
"1728","3026070","Thompson Falls Elem","Sanders County","Thompson Falls","MT",282
"1729","5511400","Paris J1 School District","Kenosha County","Kenosha","WI",281
"1730","5900151","San Felipe Pueblo Elementary School","Sandoval County","San Felipe Pue.","NM",281
"1731","4622410","Estelline School District 28-2","Hamlin County","Estelline","SD",280
"1732","2923220","ORRICK R-XI","Ray County","ORRICK","MO",280
"1733","4614100","Colman-Egan School District 50-5","Moody County","Colman","SD",279
"1734","3501050","FORT SUMNER MUNICIPAL SCHOOLS","De Baca County","FORT SUMNER","NM",279
"1735","4680445","Corsica-Stickney 21-3","Douglas County","Corsica","SD",278
"1736","1601170","GARDEN VALLEY DISTRICT","Boise County","GARDEN VALLEY","ID",278
"1737","2306870","Jefferson Public Schools","Lincoln County","Damariscotta","ME",278
"1738","2008220","LaCrosse","Rush County","La Crosse","KS",278
"1739","5900112","Lukachukai Community School","Apache County","Lukachukai","AZ",278
"1740","4650850","Newell School District 09-2","Butte County","Newell","SD",278
"1741","4676740","Waverly School District 14-5","Codington County","Waverly","SD",278
"1742","2905820","BRAYMER C-4","Caldwell County","BRAYMER","MO",277
"1743","5900104","Lac Courte Oreilles Ojibwa School","Sawyer County","Hayward","WI",277
"1744","5900085","Lower Brule Day School","Lyman County","Lower Brule","SD",277
"1745","5304590","Lyle School District","Klickitat County","LYLE","WA",277
