"","state.x","name.x","census_id.x","id","year.x","category.x","total_liabilities.x","bonds_outstanding.x","current_liabilities.x","leases.x","loans_outstanding.x","notes_outstanding.x","net_pension_liability.x","net_pension_assets.x","net_opeb_liability.x","net_opeb_assets.x","compensated_absences.x","charges_for_services.x","operating_grants.x","capital_grants.x","general_revenue.x","change_in_net_position.x","expenses.x","total_operating_revenues.x","non_operating_revenues.x","capital_contributions.x","revenues.x","has_unconfirmed.x","state.y","name.y","census_id.y","year.y","category.y","total_liabilities.y","bonds_outstanding.y","current_liabilities.y","leases.y","loans_outstanding.y","notes_outstanding.y","net_pension_liability.y","net_pension_assets.y","net_opeb_liability.y","net_opeb_assets.y","compensated_absences.y","charges_for_services.y","operating_grants.y","capital_grants.y","general_revenue.y","change_in_net_position.y","expenses.y","total_operating_revenues.y","non_operating_revenues.y","capital_contributions.y","revenues.y","has_unconfirmed.y"
"942","IN","Richland-Bean Blossom Community School Corporation",NA,189636,2020,"School District",0,0,0,0,0,0,0,0,0,0,0,0,0,0,39086401,1301419,37784982,0,0,0,39086401,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"943","IN","Dekalb County Eastern Community School District",NA,189471,2020,"School District",0,0,0,0,0,0,0,0,0,0,0,0,0,0,58788417,-558123,59346540,0,0,0,58788417,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"944","MN","Northeast Metropolitan Intermediate School District No. 916",NA,1035652,2020,"School District",123083605,0,3871873,1352746,0,0,33444609,0,1400722,0,5806574,19480936,37891803,0,12583840,-4170318,74126897,0,0,0,69956579,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"945","MN","Independent School District No. 294",NA,1035646,2020,"School District",20488805,4293789,4673749,0,0,0,9646417,0,1139254,0,54847,908739,3241586,475589,17827306,-822760,23275980,0,0,0,22453220,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"946","MN","Independent School District No. 553",NA,1035649,2020,"School District",24463947,16226632,2748012,128899,0,0,4637808,0,722596,0,0,415238,593251,0,9301624,648799,9661314,0,0,0,10310113,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"947","MN","Independent School District No. 227",NA,1035643,2020,"School District",36668544,28951908,1270855,0,0,0,6030933,0,414048,0,0,917565,1273171,169905,10334430,84181,12610890,0,0,0,12695071,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"948","MN","Independent School District No. 2889",NA,1035645,2020,"School District",16120428,9910000,864546,0,0,0,4606784,0,728885,0,10213,541638,1486453,0,8703185,1240847,9490429,0,0,0,10731276,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"949","MN","Independent School District No. 2172",NA,1035642,2020,"School District",28035892,19742895,1064746,396347,0,0,5171854,0,623248,0,0,970927,2232120,0,9130835,249919,12083963,0,0,0,12333882,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"950","MN","Independent School District No. 378",NA,1035648,2020,"School District",30734310,24602995,690389,191058,0,0,4503496,0,687761,0,58611,559866,1936678,216415,6289561,-616791,9619311,0,0,0,9002520,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"951","MN","Independent School District No. 690",NA,1035650,2020,"School District",30387915,19971100,1286977,233629,0,0,8361307,0,465216,0,69686,375587,353330,0,14706706,-1710026,17145649,0,0,0,15435623,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
