"","state","name","census_id","id","ncesID","is_city","is_county","is_intergovernmental","is_special_district","is_state","is_tribal","year","category","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","has_unconfirmed","component_unit_of_id"
"251","MO","Lathrop R-2 School District",NA,224863,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",0,6795000,0,2482507,0,0,0,0,0,0,0,257805,1074492,52659,9956869,-621189,11963014,0,0,0,11341825,FALSE,NA
"252","MO","Weaubleau R-3 School District",NA,224876,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",0,2470000,0,0,0,0,0,0,0,0,48353,135859,1479257,0,2991043,574453,4031706,0,0,0,4606159,FALSE,NA
"253","MO","Wellington-Napoleon R-9 School District",NA,1238721,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",0,3237959,0,26519,0,0,0,0,0,0,0,285507,1179503,132059,3854082,-588654,6039805,0,0,0,5451151,FALSE,NA
"254","MO","Glenwood R-8 School District",NA,224856,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",10510,0,0,10510,0,0,2564641,0,0,0,0,16311,968795,0,2925781,208518,3702369,0,0,0,3910887,FALSE,NA
"255","MO","Pierce City School District R-6",NA,190099,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",0,5205000,0,665000,104417,0,5726850,0,0,0,0,165648,1898629,0,5798528,268411,7594393,0,0,0,7862805,FALSE,NA
"256","MO","West Platte R-2 School District",NA,224878,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",0,0,0,3825000,0,0,0,0,0,0,0,245089,896494,55046,12286876,1621418,11862087,0,0,0,13483505,FALSE,NA
"257","MO","Henry County R-1 School District",NA,35225,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",0,4328754,0,36214,0,0,0,0,0,0,0,218869,2896683,0,9650773,4618778,8147547,0,0,0,12766325,FALSE,NA
"258","MO","Hermitage R-4 School District",NA,224859,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",0,2440000,0,98394,0,0,0,0,0,0,59534,122075,1864029,51485,4439082,2150039,4326632,0,0,0,6476671,FALSE,NA
"259","MO","Iberia R-5 School District",NA,224861,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",0,1681000,0,0,0,0,0,0,0,0,152815,271794,1778798,0,5796422,628277,7218737,0,0,0,7847014,FALSE,NA
"260","MO","Hickman Mills C-1 School Dstrict",NA,224860,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",0,67565000,0,13140187,0,0,0,0,0,0,0,161457,28240009,1224973,103093447,48953439,83766447,0,0,0,132719886,FALSE,NA
"261","MS","School District of University City",NA,224887,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",3636974,55808033,3636974,2172572,358766,0,0,0,0,0,0,4090549,17056956,0,44099514,5259774,59987245,0,0,0,65247019,FALSE,NA
"262","MO","Forsyth R-3 School District",NA,35339,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",0,8395000,0,0,0,0,11811453,0,0,0,0,818590,2526085,218633,10065742,-7297595,20926645,0,0,0,13629050,FALSE,NA
