"","id","state","name","ncesID","nces_original_name","students"
"4414","35576","NH","Jaffrey-Rindge Cooperative School District","3304030","Jaffrey-Rindge Coop School District","1404"
"4415","46035","NH","Kearsarge Regional School District","3304040","Kearsarge Regional School District","1700"
"4416","35577","NH","Keene Union School District","3304050","Keene School District","3303"
"4417","35580","NH","Lebanon School District","3304230","Lebanon School District","1661"
"4418","225033","NH","Litchfield School District","3304350","Litchfield School District","1296"
"4419","35581","NH","Littleton School District","3304380","Littleton School District","663"
"4420","81900","NH","Londonderry, New Hampshire School District","3304410","Londonderry School District","4237"
"4421","46958","NH","Manchester School District","3304590","Manchester School District","13255"
"4422","54231","NH","Mascenic Regional School District","3304670","Mascenic Regional School District","1026"
"4423","168008","NH","Mascoma Valley Regional School Districct","3304680","Mascoma Valley Reg School District","1126"
"4424","35584","NH","Merrimack School District","3304740","Merrimack School District","3791"
"4425","35588","NH","Merrimack Valley School District","3304760","Merrimack Valley School District","2376"
"4426","35586","NH","Milford New Hampshire School District","3304830","Milford School District","2320"
"4427","41930","NH","Monadnock Regional School District","3304890","Monadnock Regional School District","1654"
"4428","35583","NH","Newfound Area School District","3305220","Newfound Area School District","1207"
"4429","35597","NH","Newport School District","3305310","Newport School District","949"
"4430","42548","NH","Oyster River Cooperative School District","3305520","Oyster River Coop School District","2206"
"4431","41543","NH","Pelham School District","3305550","Pelham School District","1811"
"4432","99106","NH","Pittsfield School District","3305730","Pittsfield School District","582"
"4433","35591","NH","Raymond School District","3305880","Raymond School District","1233"
"4434","48086","NH","Salem, New Hampshire School District","3306060","Salem School District","3550"
"4435","46413","NH","Sanborn Regional School District","3306080","Sanborn Regional School District","1580"
"4436","52906","NH","Seabrook School District","3306150","Seabrook School District","712"
"4437","44186","NH","Shaker Regional School District","3306180","Shaker Regional School District","1271"
"4438","35595","NH","Timberlane Regional School District","3306720","Timberlane Regional School District","3466"
"4439","35579","NH","White Mountains Regional School District","3307050","White Mountain Regional School District","1057"
"4440","41931","NH","Winchester School District","3307140","Winchester School District","407"
"4441","35593","NH","Windham School District","3307170","Windham School District","3010"
"4442","168014","NH","Winnacunnet Cooperative School District","3307230","Winnacunnet Coop School District","1060"
"4443","35572","NH","Winnisquam Regional School District","3307300","Winnisquam Regional School District","1430"
"4444","225060","NJ","Atlantic County Vocational School District","3400960","Atlantic City School District","6921"
"4445","35751","NJ","Audubon School District","3401050","AUDUBON PUBLIC SCHOOL DISTRICT","1491"
"4446","35861","NJ","Barnegat Township School District","3416470","Barnegat Township School District","3510"
"4447","190466","NJ","Bass River Township School District","3401200","Bass River Township Board of Education","93"
"4448","302428","NJ","Belleville Township School District","3401350","Belleville Public School District","4561"
"4449","1266199","NJ","Berkeley Township School District","3401560","Berkeley Township School District","2479"
"4450","225065","NJ","Bernards Township School District","3401650","Bernards Township School District","5154"
"4451","35753","NJ","Black Horse Pike Regional School District","3401770","Black Horse Pike Regional School District","3663"
"4452","225067","NJ","Bloomfield Township School District","3401830","Bloomfield Township School District","6589"
"4453","35749","NJ","Bordentown Regional School District","3402030","Bordentown Regional School District","2461"
"4454","35752","NJ","Borough of Bellmawr School District","3401380","Bellmawr Public School District","1225"
"4455","35871","NJ","Borough of Bound Brook School District","3402100","Bound Brook School District","2037"
