"","state.x","name.x","census_id.x","id","year.x","category.x","total_liabilities.x","bonds_outstanding.x","current_liabilities.x","leases.x","loans_outstanding.x","notes_outstanding.x","net_pension_liability.x","net_pension_assets.x","net_opeb_liability.x","net_opeb_assets.x","compensated_absences.x","charges_for_services.x","operating_grants.x","capital_grants.x","general_revenue.x","change_in_net_position.x","expenses.x","total_operating_revenues.x","non_operating_revenues.x","capital_contributions.x","revenues.x","has_unconfirmed.x","state.y","name.y","census_id.y","year.y","category.y","total_liabilities.y","bonds_outstanding.y","current_liabilities.y","leases.y","loans_outstanding.y","notes_outstanding.y","net_pension_liability.y","net_pension_assets.y","net_opeb_liability.y","net_opeb_assets.y","compensated_absences.y","charges_for_services.y","operating_grants.y","capital_grants.y","general_revenue.y","change_in_net_position.y","expenses.y","total_operating_revenues.y","non_operating_revenues.y","capital_contributions.y","revenues.y","has_unconfirmed.y"
"124","KS","Halstead-Bentley Unified School District No. 440",NA,224328,2021,"School District",0,6010000,0,507744,0,0,7095571,0,0,0,0,0,0,0,19905201,423842,19481359,0,0,0,19905201,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","KS","Vermillion Unified School District No. 380",NA,224323,2021,"School District",0,0,0,0,0,0,5271000,0,0,0,0,0,0,0,9829977,190254,9639723,0,0,0,9829977,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","KS","Lakin Unified School District No. 215",NA,224325,2021,"School District",0,0,0,2313835,0,0,7007701,0,0,0,0,0,0,0,13370775,462274,12908501,0,0,0,13370775,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","KS","Minneapolis Unified School District No. 239",NA,224326,2021,"School District",0,12245000,0,0,0,0,6526135,0,0,0,0,0,0,0,12624269,79304,12544965,0,0,0,12624269,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","KS","Unified School District No. 487",NA,224330,2021,"School District",0,14060000,0,1130000,0,0,4406871,0,0,0,0,0,0,0,10813579,143915,10669664,0,0,0,10813579,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","KS","Cimarron Unified School District No. 102",NA,224324,2021,"School District",0,3820000,0,778517,0,0,7155646,0,0,0,0,0,0,0,12876294,-410958,13287252,0,0,0,12876294,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","LA","Claiborne Parish School Board",NA,75409,2021,"School District",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","LA","Webster Parish School Board",NA,169586,2021,"School District",279525256,72862415,9816780,0,0,0,72179915,0,122145314,0,2309788,157425,12310880,0,68740460,-4568349,85777114,0,0,0,81208765,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","MA","Acton-Boxborough Regional School Distrcit",NA,224387,2021,"School District",176439434,87095422,8650165,1698066,0,0,30083545,0,46056965,0,1114471,2065628,29894589,12513486,96052769,11085090,129441382,0,0,0,140526472,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","MA","Blackstone Valley Vocational Regional School District",NA,34219,2021,"School District",43526675,1580532,3234211,54676,0,0,9958428,0,28528042,0,170786,560389,4251030,328647,26221059,1039352,30321773,0,0,0,31361125,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","LA","Vernon Parish School Board",NA,171357,2021,"School District",454544105,23149526,6101547,666378,0,0,106258687,0,316190101,0,2177866,7220,17859599,0,93844006,504211,111206614,0,0,0,111710825,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","MA","Gateway Regional School District",NA,224403,2021,"School District",23317682,2355340,345341,668985,0,0,4071770,0,15497907,0,378339,27095,4807023,0,17036827,2298915,19572030,0,0,0,21870945,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","MA","Hamilton-Wenham Regional School District",NA,224404,2021,"School District",73984577,2155000,3136641,0,0,1548000,10783804,0,55886636,0,474496,666239,10760784,0,36756945,-2122379,50306347,0,0,0,48183968,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","MA","Nashoba Valley Technical High School",NA,224416,2021,"School District",16574651,3445000,668009,0,0,0,3650910,0,8372161,0,438571,461915,5322189,405751,14415325,950591,19654589,0,0,0,20605180,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","MA","Northern Berkshire Vocational Regional School District",NA,224419,2021,"School District",17476455,0,1503864,0,0,0,551364,0,15091691,0,329536,2017439,8753985,0,3928258,644538,14055144,0,0,0,14699682,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","MA","Pathfinder Regional Vocational Technical High School District",NA,47713,2021,"School District",22492858,0,1036477,0,0,0,4471306,0,16739789,0,245286,573099,4621951,0,13429446,434859,18189637,0,0,0,18624496,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","ME","Baileyville School Department",NA,224461,2021,"School District",689010,0,689010,0,0,6201906,0,0,0,0,0,0,0,0,10251084,926393,9324691,0,0,0,10251084,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
